,0
"(0.3957402954311233, 0, 0.6042597045688767, 1.0)",-35
"(0.4235657849536242, 0, 0.5764342150463758, 1.0)",-30
"(0.4627275850223291, 0.00034352456200618345, 0.5369288904156647, 1.0)",-25
"(0.5121951219512195, 0.00034352456200618345, 0.48746135348677433, 1.0)",-20
"(0.5997938852627963, 0.00034352456200618345, 0.39986259017519754, 1.0)",-15
"(0.7214015802129853, 0.0006870491240123669, 0.2779113706630024, 1.0)",-10
"(0.8931638612160769, 0.0010305736860185502, 0.1058055650979045, 1.0)",-5
"(0.9886636894537959, 0.004122294744074201, 0.007214015802129852, 1.0)",0
"(0.9635863964273446, 0.036070079010649264, 0.00034352456200618345, 1.0)",5
"(0.8340776365510134, 0.16592236344898662, 0, 1.0)",10
