"Total Accuracy, False Positive, False Negative, Sum",0
"(0.49467536928890415, 0, 0.5053246307110958, 1.0)",-35
"(0.5616626588801099, 0, 0.4383373411198901, 1.0)",-30
"(0.6389556853315012, 0.00034352456200618345, 0.36070079010649264, 1.0)",-25
"(0.7231192030230161, 0.00034352456200618345, 0.27653727241497766, 1.0)",-20
"(0.8196496049467537, 0.0006870491240123669, 0.17966334592923394, 1.0)",-15
"(0.9161800068704913, 0.0010305736860185502, 0.0827894194434902, 1.0)",-10
"(0.971830985915493, 0.0017176228100309172, 0.026451391274476124, 1.0)",-5
"(0.9852284438337341, 0.004122294744074201, 0.010649261422191686, 1.0)",0
"(0.9783579525936105, 0.018550326348333906, 0.003091721058055651, 1.0)",5
"(0.9271727928546891, 0.0724836825833047, 0.00034352456200618345, 1.0)",10
