25 EPOCHS,,,
Model ,Raw Data,Reduced,SMOTE
1 Deep Layer,"(0.923943661971831, 0.017314115035985043, 5)","(0.8928968499073503, 0.012288278516616591, 5)","(0.9320508416351769, 0.012474719746107372, 5)"
2 Deep Layers,"(0.9378220542768808, 0.009075812307538917, 5)","(0.908462013588635, 0.02394757459847584, 5)","(0.953280659567159, 0.00861897580920258, 5)"
3 Deep Layers,"(0.9513569220199244, 0.01090277906370031, 5)","(0.9153798641136505, 0.04727661443638919, 5)","(0.9627619374785297, 0.00406899007072103, 5)"
2 Deep Layers 1 Conv Layer,"(0.9716935760906905, 0.008062222143156805, 5)","(0.9504632489190858, 0.021102105535351832, 5)","(0.9697698385434559, 0.01831826809741659, 5)"
2 Deep Layers 2 Conv Layers,"(0.9793198213672277, 0.013039008626330041, 5)","(0.9692402717726992, 0.004152621695854613, 5)","(0.9862590175197526, 0.001865815955204404, 5)"
2 Deep Layers 3 Conv Layers,"(0.9853658536585366, 0.00387589493852787, 5)","(0.9588634959851761, 0.028761586363001915, 5)","(0.9874957059429749, 0.0038606414557433785, 5)"
3 Deep Layers 3 Conv Layers,"(0.9855719683957403, 0.0038483951395410615, 5)","(0.9761581222977147, 0.0068446671660012766, 5)","(0.9901064926142219, 0.0033605763246707197, 5)"
,,,
50 EPOCHS,,,
1 Deep Layer,"(0.9458605290278255, 0.0032280343416924637, 5)","(0.9213094502779493, 0.0127753715987137, 5)","(0.9517691514943318, 0.010550734918997936, 5)"
2 Deep Layers,"(0.9580212985228443, 0.006842091768538375, 5)","(0.9404570722668314, 0.005885672266619686, 5)","(0.970663002404672, 0.004416662576331227, 5)"
3 Deep Layers,"(0.9519752662315356, 0.011306081720769055, 5)","(0.9257566399011735, 0.030825764884962092, 5)","(0.963723806252147, 0.010921704228201611, 5)"
2 Deep Layers 1 Conv Layer,"(0.9786327722432154, 0.007950942592083971, 5)","(0.9668931439159976, 0.0025690715680154776, 5)","(0.981999312950876, 0.0018752791568473095, 5)"
2 Deep Layers 2 Conv Layers,"(0.9823428375128822, 0.007579369492557376, 5)","(0.9764051883878938, 0.005866193981758499, 5)","(0.9871521813809687, 0.0036886924618471143, 5)"
2 Deep Layers 3 Conv Layers,"(0.9835795259361044, 0.014018159453116663, 5)","(0.9697344039530574, 0.01695488231168721, 5)","(0.9916867055994504, 0.0018079968899952887, 5)"
3 Deep Layers 3 Conv Layers,"(0.9877705255925798, 0.0030591050306963997, 5)","(0.9767757875231624, 0.008741654262478946, 5)","(0.9910683613878393, 0.002199630449135298, 5)"
